Ticker,GLD,GLD,GLD,GLD,GLD,SPY,SPY,SPY,SPY,SPY,QQQ,QQQ,QQQ,QQQ,QQQ,TLT,TLT,TLT,TLT,TLT,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,112.48999786376953,114.80000305175781,112.31999969482422,114.08000183105469,7109600,172.36144101428408,172.77902371836475,170.52406692143902,171.56802368164062,121465900,95.88103202378049,96.28761602332015,94.66126592504187,95.12329864501953,31314600,96.45654269594755,97.50291000500825,96.34961533030389,97.24322509765625,9432000,24.74622767701957,24.75733627662568,23.84870740573121,24.28858184814453,212818400
2015-01-05,114.77999877929688,116.0,114.7300033569336,115.80000305175781,8177400,170.51571131460935,170.68274183915315,168.16055160823365,168.4695587158203,169632600,94.70746579812858,94.81835618991789,93.45997885325329,93.72795867919922,36521300,97.77024112325017,99.00755705074158,97.73205610091385,98.77079010009766,9789500,24.05752562758636,24.137502761543864,23.417710250859862,23.60432243347168,257142000
2015-01-06,116.22000122070312,117.5,115.80000305175781,117.12000274658203,11238300,168.77859855626696,169.30475691705445,166.08101746806065,166.88278198242188,209151400,93.86658584960392,94.0236753104421,92.05541810977866,92.47124481201172,66205500,99.82479728236198,101.1919529388482,99.43527854136174,100.55037689208984,18331300,23.668761942130114,23.866482831009513,23.244438480532743,23.606557846069336,263188400
2015-01-07,116.47000122070312,116.87999725341797,116.16999816894531,116.43000030517578,6434200,168.21899889977158,169.3047163753021,167.7680152296711,168.96229553222656,125346700,93.08114829175292,93.88508100114717,92.85936743048482,93.6633071899414,37577400,99.82479553578396,100.79478727096503,99.41999812941158,100.35179901123047,9762900,23.815373270692447,24.03753160976582,23.70429410115576,23.93756103515625,160423600
2015-01-08,116.44999694824219,116.87000274658203,115.8499984741211,115.94000244140625,7033700,170.382078766939,172.1776919187798,170.36538463531008,171.96054077148438,147217800,94.45795566450043,95.64075811511272,94.35630791795793,95.45594787597656,40212600,99.56507857257662,99.57271207866556,98.84713275715143,99.02279663085938,8055300,24.266361285736252,24.915063367066157,24.148615917231282,24.857301712036133,237458000
2015-01-09,116.51000213623047,117.33999633789062,116.5,117.26000213623047,7962900,172.3781815801851,172.3948884610602,169.96455341018967,170.58258056640625,158567300,95.75161009125432,95.77933091100255,94.2731005708277,94.82754516601562,41410100,98.67917039533313,100.13797520400898,98.55696428844372,100.10742950439453,9398800,25.030593966869393,25.159446283982255,24.48408434369557,24.883970260620117,214798000
2015-01-12,117.45999908447266,118.70999908447266,117.31999969482422,118.55999755859375,8318200,170.7162224078029,170.8749059284918,168.63665524400443,169.24632263183594,144396100,95.01238880703971,95.1140365486343,93.59857010129848,93.83882904052734,34129800,100.0539242241771,101.054461601745,99.9928211925577,100.68022155761719,6658100,25.015035664771943,25.021700145626117,24.170834756205902,24.27080535888672,198603200
2015-01-13,118.95999908447266,119.19000244140625,117.87000274658203,118.16000366210938,7693200,170.4739342141067,171.60975951356897,167.45898701989066,168.77020263671875,214553300,94.75365435139153,95.7516465425846,93.05337057564869,93.81110382080078,56162300,100.35179421943938,101.28359505676484,100.16085161595814,100.68022155761719,8260800,24.75511483629627,25.05947250680508,24.195276317806265,24.486303329467773,268367600
2015-01-14,119.08000183105469,119.31999969482422,117.9000015258789,117.97000122070312,7727400,166.74077174477856,167.95177180403775,165.8388043015592,167.75132751464844,192991100,92.86857090693296,93.77415808347445,92.4712225106024,93.29364013671875,51354200,102.13138901104395,102.43689253984265,101.35233986213095,101.44400024414062,12324500,24.2241587444296,24.546287834288727,24.104192972327255,24.39299964904785,195826400
2015-01-15,120.41000366210938,121.69999694824219,120.33999633789062,120.94000244140625,17692500,168.39438152635208,168.71173567094502,166.0976769785016,166.214599609375,176613900,93.72794207274715,93.87578885221129,91.97221662248684,92.0831069946289,51005400,101.46688775183347,103.13190139105724,101.33703654674743,103.04025268554688,11454200,24.437418751983326,24.450747710741982,23.69541066890038,23.730955123901367,240056000
2015-01-16,121.7300033569336,123.1500015258789,121.70999908447266,122.5199966430664,14428200,166.0058656326372,168.55312319618392,165.8221281858492,168.39443969726562,211879600,91.96297318517728,93.28438681214244,91.81512640701608,93.16426086425781,35362200,102.59728321180265,102.86459586964888,101.60437932243063,101.7265853881836,9390500,23.777607073904356,23.899794839982096,23.37105690124603,23.54656219482422,314053200
2015-01-20,123.62999725341797,124.5999984741211,123.48999786376953,124.19999694824219,14968600,169.0375085369911,169.3047676399098,167.17509285913232,168.75355529785156,130991100,93.7279363979499,94.14376293070367,92.67450260158603,93.90351104736328,30964100,102.4445222657339,103.19301395644779,102.39869790874071,103.07845306396484,7758700,23.957564225054288,24.208604335161315,23.659872743076072,24.153064727783203,199599600
2015-01-21,125.18000030517578,125.33999633789062,123.37000274658203,124.2300033569336,11082700,168.28581444311845,170.0897746191889,167.8181238960509,169.60537719726562,122942700,93.62628477052428,94.82757233756959,93.29362073811352,94.38401794433594,40128800,103.26179828412945,103.55966839665784,101.5509593421064,101.88700866699219,9803900,24.204157443782993,24.672911811933083,24.05308966122845,24.337453842163086,194303600
2015-01-22,125.06999969482422,125.58000183105469,124.1500015258789,125.2300033569336,10518400,170.3654246959862,172.26124131422927,168.9790468280684,172.12762451171875,174356000,94.75363059118519,96.23213325365565,93.9219706404028,96.13048553466797,40887200,102.34520554078185,102.4826785810704,101.03151988060829,101.52033233642578,10200000,24.495188855122496,24.986158779800352,24.37522310007527,24.97060775756836,215185600
